"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"29788413","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","347795.4615","0","352938.55494","24793.388429752","0","0","0","0","0","0","0"
"55249294","1","0","6- 24Mois","B2B","1","1","0","0","0","0","20.7004377232","0","0","0","0","0","0","0","0","0","0"
"71185357","0","0","2- 06Mois","B2C","0","1","0","1","0","0","0.9810295194","0","0.58380699","0","0","0","0","0","0","0","0"
"49590213","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","239313.94039509","25424","175775.60044959","0","25424","0","0","0","0","0","0"
"53609126","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","337007.77876","25424","124994.7995428","0","25424","0","0","0","0","0","0"
"68433526","0","0","3- 09Mois","B2C","0","0","0","1","0","0","0","0","0.114133834","0","0","0","0","0","0","0","0"
"55627664","1","0","6- 24Mois","B2B","0","1","0","0","0","0","0.07288742","0","0","0","0","0","0","0","0","0","0"
"72891790","0","0","1- 03Mois","B2C","0","1","0","1","1","0","25232.211087439","0","10504.51896722","0","0","0","0","0","0","0","0"
"45942372","0","0","7- 25Mois+","B2C","0","1","0","0","0","0","10545.496289258","0","0","0","0","0","0","0","0","0","0"
"31936283","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","0","0","0.92863846","0","0","0","0","0","0","0","0"
"55629068","0","0","6- 24Mois","B2C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48545524","0","0","7- 25Mois+","B2B","1","1","0","0","0","0","61020.106718147","0","0","0","0","0","0","0","0","0","0"
"64690944","0","0","4- 12Mois","B2C","0","1","0","1","1","0","375253.78379","0","162458.811393","24793.388429752","0","0","0","0","0","0","0"
"68193504","0","1","3- 09Mois","B2B","0","1","1","1","0","1","226642.60858761","10593","141145.264884","0","10593","0","0","0","0","0","0"
"72064422","1","0","2- 06Mois","B2B","0","1","0","1","0","0","1.39976692","0","8.43649581","0","0","0","0","0","0","0","0"
"69587561","0","0","2- 06Mois","B2B","0","1","1","1","0","1","236.765557","16865","344.5473566","0","16869","0","0","0","0","0","0"
"65542156","0","1","4- 12Mois","B2B","0","1","1","1","0","1","21509.2562966","25424","37478.398497307","0","25424","0","0","0","0","0","0"
"49029313","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","27946.690413738","14407","32078.873936999","0","14407","0","0","0","0","0","0"
"72332668","0","1","1- 03Mois","B2B","0","1","1","1","0","1","31557.49708866","24793","57063.438724754","0","24793","0","0","0","0","0","0"
"72330103","0","0","1- 03Mois","B2C","0","1","0","0","0","0","0.21163559","0","0","0","0","0","0","0","0","0","0"
"46792424","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","199653.32907875","0","141744.21584","24793.388429752","0","0","0","0","0","0","0"
"72892936","1","0","1- 03Mois","B2C","0","1","0","1","1","0","55293.1831129","0","5273.94792","0","0","0","0","0","0","0","0"
"52390300","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","256429.342188","0","218626.1495","20661.157024793","0","0","0","0","0","0","0"
"61796351","0","0","5- 18Mois","B2C","0","1","0","1","1","0","38064.177802899","0","93535.94683677","14049.586776859","0","0","0","0","0","0","0"
"66478289","0","0","3- 09Mois","B2C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69605058","0","0","2- 06Mois","B2B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33178873","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","125352.651522","0","92783.646732172","14049.586776859","0","0","0","0","0","0","0"
"54023312","0","0","6- 24Mois","B2C","0","1","0","0","0","0","67893.363888083","0","0","0","0","0","0","0","0","0","0"
"49607226","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","85419.68897","21186","60921.28953","0","21186","0","0","0","0","0","0"
"47420846","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","34943.591572889","0","16458.738184","0","0","0","0","0","0","0","0"
"54379836","1","0","6- 24Mois","B2C","0","1","0","1","1","0","0.07223129","0","44265.679174","0","0","0","0","0","0","0","0"
"27885909","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","128851.0552","27119","82539.17712","0","27119","0","0","0","0","0","0"
"49191607","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","282550.26082387","25424","230997.4066755","0","25424","0","0","0","0","0","0"
"68942852","0","0","3- 09Mois","B2B","0","1","0","1","0","0","144.169661237","0","148.77077262304","0","0","0","0","0","0","0","0"
"47415842","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","76450.414679","0","74349.38864","12396.694214876","0","0","0","0","0","0","0"
"64931292","0","0","4- 12Mois","B2B","0","1","1","1","0","1","85624.61197322","14407","45569.818246222","0","14407","0","0","0","0","0","0"
"59117294","0","0","5- 18Mois","B2C","0","1","0","1","1","0","85903.29423","0","65856.3297","4132.2314049587","0","0","0","0","0","0","0"
"49887135","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","90990.6549","14407","17790.3375328","0","14407","0","0","0","0","0","0"
"33979725","0","0","7- 25Mois+","B2B","0","1","0","1","1","0","28365.076122448","0","64970.59905491","16528.925619835","0","0","0","0","0","0","0"
"65539571","0","0","4- 12Mois","B2C","0","1","0","1","1","0","492087.52986013","0","36439.2731075","4132.2314049587","0","0","0","0","0","0","0"
"71221297","0","0","2- 06Mois","B2B","0","1","0","1","0","0","0","0","8.016369843","0","0","0","0","0","0","0","0"
"45203957","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","127232.49805748","0","104867.33037","20661.157024793","0","0","0","0","0","0","0"
"56579248","0","1","6- 24Mois","B2B","0","1","1","1","0","1","14647.30636","25424","13053.589086","0","25424","0","0","0","0","0","0"
"65900719","0","1","3- 09Mois","B2B","0","1","1","1","0","1","178186.48432","21186","147561.6794","0","21186","0","0","0","0","0","0"
"49196472","0","1","7- 25Mois+","B2B","0","1","1","0","0","1","1124.382451563","21186","0","0","21186","0","0","0","0","0","0"
"72809191","0","0","1- 03Mois","B2B","0","1","0","1","1","0","282143.0134294","0","123737.95165189","0","0","0","0","0","0","0","0"
"63758463","0","0","4- 12Mois","B2C","0","1","0","1","1","0","39965.80587094","0","65534.938186897","20661.157024793","0","0","0","0","0","0","0"
"57667204","0","0","6- 24Mois","B2B","0","1","0","1","1","0","213774.68318204","0","127766.0574","4132.2314049587","0","0","0","0","0","0","0"
"39568217","0","0","7- 25Mois+","B2C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31531233","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","32.1592349","0","56031.08796037","0","0","0","0","0","0","0","0"
"69560610","0","0","2- 06Mois","B2B","0","0","1","0","0","0","0","16528","0","0","0","0","0","0","0","0","0"
"53576893","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","326642.11356","0","204539.03097357","0","0","0","0","0","0","0","0"
"49627275","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","469336.21199304","25424","300600.52425123","0","25424","0","0","0","0","0","0"
"68554754","0","0","3- 09Mois","B2B","0","1","0","1","1","0","93346.678061717","0","53607.470600086","14049.586776859","0","0","0","0","0","0","0"
"65543290","0","0","4- 12Mois","B2C","0","1","0","1","1","0","530928.31685722","0","418459.5295","24793.388429752","0","0","0","0","0","0","0"
"48037717","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","50748.8618871","0","130.29759496","0","0","0","0","0","0","0","0"
"56907215","0","0","6- 24Mois","B2C","0","1","0","0","0","0","319882.9231027","0","0","0","0","0","0","0","0","0","0"
"54195271","0","0","6- 24Mois","B2C","0","1","0","1","0","0","32.7165758036","0","9.78395087","0","0","0","0","0","0","0","0"
"69819729","0","1","2- 06Mois","B2C","0","1","0","1","1","0","24253.56935007","0","132880.78188419","0","0","0","0","0","0","0","0"
"56314397","0","0","6- 24Mois","B2C","1","1","0","1","1","0","292761.96489318","0","101543.98192707","0","0","0","0","0","0","0","0"
"72781742","0","0","1- 03Mois","B2B","0","1","1","1","0","1","105255.944401","20661","65775.821207","0","20661","0","0","0","0","0","0"
"62713288","0","1","5- 18Mois","B2B","0","1","1","1","0","1","134851.16782154","14407","54649.479421259","0","14407","0","0","0","0","0","0"
"49248616","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","0.966299059","25424","0.995416641","0","25424","0","0","0","0","0","0"
"49191169","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","1000597.794","25424","869660.849","0","25424","0","0","0","0","0","0"
"49186715","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","79070.63564","25424","49127.775946","0","25424","0","0","0","0","0","0"
"55502475","0","1","6- 24Mois","B2B","0","0","1","0","0","1","0","25424","0","0","25424","0","0","0","0","0","0"
"49188437","0","1","7- 25Mois+","B2B","0","0","1","0","0","1","0","25424","0","0","25424","0","0","0","0","0","0"
"49252063","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","470889.5149","25424","297231.2622","0","25424","0","0","0","0","0","0"
"49184745","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","556284.418","25424","466406.07843693","0","25424","0","0","0","0","0","0"
"51288287","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","185829.923425","25424","190903.2126","0","25424","0","0","0","0","0","0"
"49186709","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","75265.221531","25424","63777.152257525","0","25424","0","0","0","0","0","0"
"44661452","1","0","7- 25Mois+","B2C","0","1","0","1","1","0","198656.1178848","0","52010.574004","0","0","0","0","0","0","0","0"
"60794946","0","0","5- 18Mois","B2C","0","1","0","1","0","0","14.42349438","0","11.180998805","0","0","0","0","0","0","0","0"
"61800023","0","1","5- 18Mois","B2C","1","1","0","1","1","0","507425.59018596","0","344161.48695831","0","0","0","0","0","0","0","0"
"51913491","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","147173.85954","25424","69060.728167","0","25424","0","0","0","0","0","0"
"72157517","1","0","1- 03Mois","B2C","0","1","0","1","0","1","32259.8421462","0","192545.11181312","0","24793","5691577.2929688","110.53333333333","7809.8","0","27.266666666667","131.2"
"72284133","0","0","1- 03Mois","B2C","1","1","0","1","0","1","97624.32238901","0","105419.51548902","0","14050","3907598.8730469","375.85","13363.25","4750130.7480469","292.36666666667","10694.5"
"63057347","0","1","5- 18Mois","B2C","0","1","0","0","0","0","125877.00260757","0","0","0","0","5356341.0634766","609.48333333333","10000","10467599.875977","530.58333333333","10000"
"69820041","0","0","2- 06Mois","B2C","0","1","0","1","1","0","233.3738418986","0","1438.3731615821","0","0","24348804.383789","861.96666666667","15632","13057264.933594","835.85","16762"
"72353870","1","0","1- 03Mois","B2C","0","1","0","1","1","1","59077.29456","0","166250.6187","28925.619834711","14050","1217191.7792969","1.8166666666667","1000.25","4801756.8388672","21.25","2499.5"
"69600471","0","0","2- 06Mois","B2B","1","1","0","1","1","0","19650.684615","0","41521.668444","0","0","0","0","0","0","0","0"
"63743337","0","0","4- 12Mois","B2C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27886023","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","205897.2958","15254","138085.567","0","15254","0","0","0","0","0","0"
"49189439","0","0","7- 25Mois+","B2C","0","0","1","0","0","1","0","20661","0","0","41322","0","0","0","51198.411132812","0.88333333333333","1.03"
"71654255","0","0","2- 06Mois","B2C","0","0","0","1","0","0","0","0","0.583312034","0","0","7672011.9052734","97.75","10240","10772598.056641","204.26666666667","11750"
"62754327","0","1","5- 18Mois","B2B","0","1","1","1","0","1","98174.565767","21186","65032.426207847","0","21186","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"62990413","0","1","5- 18Mois","B2B","0","1","1","1","0","1","40.90943081","21186","37.967616435","0","21186","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"61749775","0","1","5- 18Mois","B2B","0","1","1","1","0","1","5253.371730769","25424","5926.895547792","0","25424","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"62990938","0","1","5- 18Mois","B2B","0","1","1","0","0","1","21910.538485186","21186","0","0","21186","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"62437868","0","1","5- 18Mois","B2B","0","1","1","1","0","1","12910.249851057","25424","12788.145324214","0","25424","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"61749041","0","1","5- 18Mois","B2B","0","1","1","1","0","1","8519.417510467","25424","1366.769496257","0","25424","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"62990366","0","1","5- 18Mois","B2B","0","1","1","1","0","1","297953.76761666","21186","178407.17602666","0","21186","28525262.93457","683.48333333333","22000","21278704.658203","863.95","15452"
"69778858","0","1","2- 06Mois","B2C","0","1","0","1","1","0","95470.285142179","0","76808.581889072","24793.388429752","0","7757629.9472656","927.3","7500","9634216.5205078","879.8","15000"
"72783289","0","0","1- 03Mois","B2C","0","0","0","1","1","0","0","0","576.297818826","4132.2314049587","0","6550021.1230469","53.766666666667","10924","8608906.15625","216.7","13446"
"46607415","1","1","7- 25Mois+","B2B","0","1","0","1","0","0","16655.042665698","0","90902.14280122","0","0","6175709.4326172","1040.4","22468","1820701.8505859","1097.5","23448"
"27885919","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","66147.0701","27119","50034.26989","0","27119","23.0859375","126.51666666667","2750","0","0","0"
"52263079","0","1","7- 25Mois+","B2B","0","1","1","1","0","1","203511.03853","25424","68857.35099","0","25424","1480562.3085938","895.1","141308","2554042.6474609","980.26666666667","109200.79"
"46714748","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","582874.31847727","0","429101.4554","24793.388429752","0","16383999.624023","20.333333333333","16220.64","11447835.035156","75.95","14985.42"
"72156607","1","0","1- 03Mois","B2C","0","1","0","1","0","1","14980.066843","0","251019.684423","0","20661","25131168.914062","1277.15","42270","21517992.386719","1211.0333333333","21432"
"48994100","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","91799.40664693","0","60.67728675","0","0","4677459.1904297","317.76666666667","7894","17096349.727539","347.51666666667","12933.31"
"30589930","0","0","7- 25Mois+","B2B","0","1","1","1","0","1","962665.124","58475","512420.222","0","58475","159343.48242188","435.36666666667","32566","1038022.3632812","666.43333333333","50081"
"43065909","0","0","7- 25Mois+","B2C","0","1","0","0","0","0","24.87326913","0","0","0","0","0.0859375","428.05","22648.75","0","563.66666666667","31644.25"
"31405072","1","1","7- 25Mois+","B2C","0","1","0","1","0","0","17.0052377","0","44736.078212","0","0","8860112.6845703","1561.5","10000","21505016.987305","3207.7","11203.5"
"51527818","0","0","7- 25Mois+","B2B","0","1","0","1","1","0","2563.89598326","0","5849.4249169236","4132.2314049587","0","7521264.1533203","937.56666666667","13199.25","3537643.6455078","1303.8666666667","12656"
"52923316","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","115352.7706","0","61386.44236","14049.586776859","0","6261252.0898438","2035.4","29415.5","4405519.5712891","1818.3666666667","24070.64"
